 10/14/1812 Wed 05:57:00  c0deace001 "was saying."
 10/16/1812 Fri 04:05:06  c0deace001 "“If a battle takes place within the next three days the French will"
 10/16/1812 Fri 04:17:18  c0deace001 "“We know that you have Bonaparte and that he has beaten everybody in the"
 10/16/1812 Fri 04:41:09  c0deace001 "whipped. “As soon as Napoleon’s interpreter had spoken,” says Thiers,"
 10/16/1812 Fri 05:07:38  c0deace001 "Princess Mary was not in Moscow and out of danger as Prince Andrew"
 10/16/1812 Fri 05:25:27  c0deace001 "thence to Moscow. Princess Mary, alarmed by her father’s feverish and"
 10/16/1812 Fri 05:36:10  c0deace001 "his study telling her that if she did not go away it was all the same"
 10/16/1812 Fri 05:50:09  c0deace001 "was already at the door. Princess Mary saw him walk out of the house in"
 10/16/1812 Fri 06:06:42  c0deace001 "could not be sure what change there was in his face. All she could see"
 10/16/1812 Fri 06:23:23  c0deace001 "him."
 10/16/1812 Fri 07:37:59  c0deace001 "The doctor insisted on the necessity of moving the prince; the"
 10/16/1812 Fri 08:02:40  c0deace001 "but not deciding to do so. Though he did not speak, Princess Mary saw"
 10/16/1812 Fri 09:06:17  c0deace001 "she changed her position so that his left eye could see her face he"
 10/16/1812 Fri 10:08:27  c0deace001 "of doubt showed itself on his face as he spoke."
 10/16/1812 Fri 10:26:35  c0deace001 "destroyed her.”"
 10/16/1812 Fri 10:44:22  c0deace001 "Having understood this Princess Mary sobbed still louder, and the doctor"
 10/16/1812 Fri 11:11:29  c0deace001 "which heaved with convulsive sobs."
 10/16/1812 Fri 11:18:23  c0deace001 "stranger. This was the Marshal of the Nobility of the district, who"
 10/16/1812 Fri 11:30:28  c0deace001 "slope by the pond, where no one could see her. She did not know how"
 10/16/1812 Fri 12:17:30  c0deace001 "In the presence of Tíkhon and the doctor the women washed what had been"
 10/16/1812 Fri 12:40:26  c0deace001 "prince’s cold and stiffened hand."
