 10/09/1812 Fri 04:35:32  255456ec42 "toward her."
 10/09/1812 Fri 05:10:02  c0deace001 "purchaser has turned up for the Moscow estate and for the house. If you"
 10/09/1812 Fri 05:10:58  042fb155ad "will be so kind, I’ll fix a time and go down to the estate just for a"
 10/09/1812 Fri 05:12:05  6c6823e7e9 "day, and leave my lassies with you.”"
 10/09/1812 Fri 05:13:13  6619354efc "“All right. All right. They’ll be safe with me, as safe as in"
 10/09/1812 Fri 05:15:09  2922c90708 "Chancery! I’ll take them where they must go, scold them a bit, and"
 10/09/1812 Fri 05:16:51  89834aa9fd "pet them a bit,” said Márya Dmítrievna, touching her goddaughter and"
 10/09/1812 Fri 05:17:22  59273b15de "favorite, Natásha, on the cheek with her large hand."
 10/09/1812 Fri 05:18:00  5a60b153ca "Next morning Márya Dmítrievna took the young ladies to the Iberian"
 10/09/1812 Fri 05:19:25  971d3857f7 "shrine of the Mother of God and to Madame Suppert-Roguet, who was so"
 10/09/1812 Fri 05:20:38  b463bfcfba "afraid of Márya Dmítrievna that she always let her have costumes at"
 10/09/1812 Fri 05:21:42  372cd724e8 "a loss merely to get rid of her. Márya Dmítrievna ordered almost the"
 10/09/1812 Fri 05:22:56  1f5b37c489 "whole trousseau. When they got home she turned everybody out of the room"
 10/09/1812 Fri 05:23:45  b066f0ef27 "except Natásha, and then called her pet to her armchair."
 10/09/1812 Fri 05:26:13  9d31e3a306 "“Well, now we’ll talk. I congratulate you on your betrothed."
 10/09/1812 Fri 05:28:29  3b77752fd4 "You’ve hooked a fine fellow! I am glad for your sake and I’ve known"
 10/09/1812 Fri 05:29:28  98718c822d "him since he was so high.” She held her hand a couple of feet from the"
 10/09/1812 Fri 05:30:34  c0deace001 "ground. Natásha blushed happily. “I like him and all his family."
 10/09/1812 Fri 05:32:22  75e3b2b754 "Now listen! You know that old Prince Nicholas much dislikes his son’s"
 10/09/1812 Fri 05:33:49  f4c8287e2e "marrying. The old fellow’s crotchety! Of course Prince Andrew is not"
 10/09/1812 Fri 05:34:38  8bb3b3e8d8 "a child and can shift without him, but it’s not nice to enter a family"
 10/09/1812 Fri 05:35:13  71744d9d32 "against a father’s will. One wants to do it peacefully and lovingly."
 10/09/1812 Fri 05:36:13  69a847b788 "You’re a clever girl and you’ll know how to manage. Be kind, and use"
 10/09/1812 Fri 05:37:23  bc5628f7e6 "your wits. Then all will be well.”"
 10/09/1812 Fri 05:38:22  c0deace001 "Natásha remained silent, from shyness Márya Dmítrievna supposed, but"
 10/09/1812 Fri 05:40:27  05b0085e3a "really because she disliked anyone interfering in what touched her love"
 10/09/1812 Fri 05:41:47  c0deace001 "of Prince Andrew, which seemed to her so apart from all human affairs"
 10/09/1812 Fri 05:43:14  7b71903b28 "that no one could understand it. She loved and knew Prince Andrew, he"
 10/09/1812 Fri 05:44:05  bcdab502c7 "loved her only, and was to come one of these days and take her. She"
 10/09/1812 Fri 05:44:59  085e6587d7 "wanted nothing more."
 10/09/1812 Fri 05:46:52  c0deace001 "“You see I have known him a long time and am also fond of Mary, your"
 10/09/1812 Fri 05:48:24  7341d7b595 "future sister-in-law. ‘Husbands’ sisters bring up blisters,’"
 10/09/1812 Fri 05:49:35  4422aafeb5 "but this one wouldn’t hurt a fly. She has asked me to bring you two"
 10/09/1812 Fri 05:50:07  0d2ff18c00 "together. Tomorrow you’ll go with your father to see her. Be very"
 10/09/1812 Fri 05:51:40  7988ac63bd "nice and affectionate to her: you’re younger than she. When he comes,"
 10/09/1812 Fri 05:52:59  46c5b261c3 "he’ll find you already know his sister and father and are liked by"
 10/09/1812 Fri 05:54:18  b7901bfb26 "them. Am I right or not? Won’t that be best?”"
 10/09/1812 Fri 05:56:26  89c7b6c48e "“Yes, it will,” Natásha answered reluctantly."
 10/09/1812 Fri 05:58:19  f1c4a625a6 "CHAPTER VII"
 10/09/1812 Fri 06:00:23  ef33977bc5 "Next day, by Márya Dmítrievna’s advice, Count Rostóv took Natásha"
 10/09/1812 Fri 06:02:43  415b194a2b "to call on Prince Nicholas Bolkónski. The count did not set out"
 10/09/1812 Fri 06:04:34  69ce1fe4a6 "cheerfully on this visit, at heart he felt afraid. He well remembered"
 10/09/1812 Fri 06:06:16  f701efb4bf "the last interview he had had with the old prince at the time of the"
 10/09/1812 Fri 06:07:05  012eaf401c "enrollment, when in reply to an invitation to dinner he had had to"
 10/09/1812 Fri 06:09:24  c37e28b3eb "listen to an angry reprimand for not having provided his full quota of"
 10/09/1812 Fri 06:10:58  896e13d8a8 "men. Natásha, on the other hand, having put on her best gown, was in"
 10/09/1812 Fri 06:12:57  540eaf9675 "the highest spirits. “They can’t help liking me,” she thought."
 10/09/1812 Fri 06:14:06  84c92a8ff7 "“Everybody always has liked me, and I am so willing to do anything"
 10/09/1812 Fri 06:15:51  0751f2f918 "they wish, so ready to be fond of him—for being his father—and of"
 10/09/1812 Fri 06:17:47  bf73e6140e "her—for being his sister—that there is no reason for them not to"
 10/09/1812 Fri 06:19:26  c05eb824d5 "like me....”"
 10/09/1812 Fri 06:21:52  a48ddedfff "They drove up to the gloomy old house on the Vozdvízhenka and entered"
 10/09/1812 Fri 06:24:10  b838d6cac4 "the vestibule."
 10/09/1812 Fri 06:25:15  2e75a65eca "“Well, the Lord have mercy on us!” said the count, half in jest,"
 10/09/1812 Fri 06:27:08  c4b787b437 "half in earnest; but Natásha noticed that her father was flurried on"
 10/09/1812 Fri 06:28:16  ca068f2f52 "entering the anteroom and inquired timidly and softly whether the prince"
 10/09/1812 Fri 06:30:21  c0deace001 "and princess were at home."
 10/09/1812 Fri 06:31:42  b5dfa3963a "When they had been announced a perturbation was noticeable among the"
 10/09/1812 Fri 06:34:11  4c0c0d3617 "servants. The footman who had gone to announce them was stopped by"
 10/09/1812 Fri 06:36:08  e94e2770d8 "another in the large hall and they whispered to one another. Then a"
 10/09/1812 Fri 06:38:20  9f09ae1e55 "maidservant ran into the hall and hurriedly said something, mentioning"
 10/09/1812 Fri 06:39:43  fbac858282 "the princess. At last an old, cross looking footman came and announced"
 10/09/1812 Fri 06:40:21  542cffb0a8 "to the Rostóvs that the prince was not receiving, but that the princess"
 10/09/1812 Fri 06:42:27  bf3e428a39 "begged them to walk up. The first person who came to meet the visitors"
 10/09/1812 Fri 06:44:46  7953f06d72 "was Mademoiselle Bourienne. She greeted the father and daughter"
 10/09/1812 Fri 06:46:05  a77c91c1f0 "with special politeness and showed them to the princess’ room. The"
 10/09/1812 Fri 06:47:01  ded12a7340 "princess, looking excited and nervous, her face flushed in patches, ran"
 10/09/1812 Fri 06:48:50  ddf5bcb4fc "in to meet the visitors, treading heavily, and vainly trying to appear"
 10/09/1812 Fri 06:49:33  c0deace001 "cordial and at ease. From the first glance Princess Mary did not like"
 10/09/1812 Fri 06:51:12  99fb74b580 "Natásha. She thought her too fashionably dressed, frivolously gay and"
 10/09/1812 Fri 06:53:08  f075cde93e "vain. She did not at all realize that before having seen her future"
 10/09/1812 Fri 06:54:34  be7393aa74 "sister-in-law she was prejudiced against her by involuntary envy of her"
 10/09/1812 Fri 06:56:24  12d49d0467 "beauty, youth, and happiness, as well as by jealousy of her brother’s"
 10/09/1812 Fri 06:58:10  409a9fda0c "love for her. Apart from this insuperable antipathy to her, Princess"
 10/09/1812 Fri 06:58:41  009ec1ba62 "Mary was agitated just then because on the Rostóvs’ being announced,"
 10/09/1812 Fri 07:00:00  764d2bd837 "the old prince had shouted that he did not wish to see them, that"
 10/09/1812 Fri 07:02:17  270dcc299b "Princess Mary might do so if she chose, but they were not to be admitted"
 10/09/1812 Fri 07:04:03  92d97be69f "to him. She had decided to receive them, but feared lest the prince"
 10/09/1812 Fri 07:04:49  c0deace001 "might at any moment indulge in some freak, as he seemed much upset by"
 10/09/1812 Fri 07:06:23  3f5e9f0f7f "the Rostóvs’ visit."
 10/09/1812 Fri 07:06:57  3331b4d45c "“There, my dear princess, I’ve brought you my songstress,” said"
 10/09/1812 Fri 07:08:50  3cdc019c52 "the count, bowing and looking round uneasily as if afraid the old prince"
 10/09/1812 Fri 07:09:39  baf676e270 "might appear. “I am so glad you should get to know one another... very"
 10/09/1812 Fri 07:10:43  31999b2087 "sorry the prince is still ailing,” and after a few more commonplace"
 10/09/1812 Fri 07:12:12  a9c65b7827 "remarks he rose. “If you’ll allow me to leave my Natásha in your"
 10/09/1812 Fri 07:13:13  d5e2dc5217 "hands for a quarter of an hour, Princess, I’ll drive round to see Anna"
 10/09/1812 Fri 07:15:09  9b34174b1a "Semënovna, it’s quite near in the Dogs’ Square, and then I’ll"
 10/09/1812 Fri 07:16:29  679353a16f "come back for her.”"
 10/09/1812 Fri 07:18:57  ffdfc73a41 "The count had devised this diplomatic ruse (as he afterwards told his"
 10/09/1812 Fri 07:20:35  bfbfdf1277 "daughter) to give the future sisters-in-law an opportunity to talk"
 10/09/1812 Fri 07:22:41  af0f001d2a "to one another freely, but another motive was to avoid the danger of"
 10/09/1812 Fri 07:25:09  083e7acea7 "encountering the old prince, of whom he was afraid. He did not mention"
 10/09/1812 Fri 07:26:15  29bd181f6d "this to his daughter, but Natásha noticed her father’s nervousness"
 10/09/1812 Fri 07:28:10  198fde7810 "and anxiety and felt mortified by it. She blushed for him, grew still"
 10/09/1812 Fri 07:29:28  9c2ff40392 "angrier at having blushed, and looked at the princess with a bold and"
 10/09/1812 Fri 07:31:00  084f8863c9 "defiant expression which said that she was not afraid of anybody. The"
 10/09/1812 Fri 07:32:14  c0deace001 "princess told the count that she would be delighted, and only begged him"
 10/09/1812 Fri 07:33:30  e558f8a7aa "to stay longer at Anna Semënovna’s, and he departed."
 10/09/1812 Fri 07:35:46  3949cac03c "Despite the uneasy glances thrown at her by Princess Mary—who wished"
 10/09/1812 Fri 07:36:35  fa311635be "to have a tête-à-tête with Natásha—Mademoiselle Bourienne"
 10/09/1812 Fri 07:38:48  4549fa6186 "remained in the room and persistently talked about Moscow amusements and"
 10/09/1812 Fri 07:40:24  1f6f3c27b6 "theaters. Natásha felt offended by the hesitation she had noticed in"
 10/09/1812 Fri 07:42:21  fbd59b357e "the anteroom, by her father’s nervousness, and by the unnatural manner"
 10/09/1812 Fri 07:44:27  fce6ad28b6 "of the princess who—she thought—was making a favor of receiving her,"
 10/09/1812 Fri 07:46:45  9576c1a5ac "and so everything displeased her. She did not like Princess Mary, whom"
 10/09/1812 Fri 07:48:29  d0d6100f7c "she thought very plain, affected, and dry. Natásha suddenly shrank"
 10/09/1812 Fri 07:49:43  f94422c763 "into herself and involuntarily assumed an offhand air which alienated"
 10/09/1812 Fri 07:52:09  64fc66a768 "Princess Mary still more. After five minutes of irksome, constrained"
 10/09/1812 Fri 07:52:42  99e7e5826e "conversation, they heard the sound of slippered feet rapidly"
 10/09/1812 Fri 07:54:53  be738ed8b4 "approaching. Princess Mary looked frightened."
 10/09/1812 Fri 07:57:15  6e9249ef75 "The door opened and the old prince, in a dressing gown and a white"
 10/09/1812 Fri 07:59:11  36cc8a5eaa "nightcap, came in."
 10/09/1812 Fri 07:59:41  d2ed75a784 "“Ah, madam!” he began. “Madam, Countess... Countess Rostóva, if"
 10/09/1812 Fri 08:00:37  9b1c4c3fea "I am not mistaken... I beg you to excuse me, to excuse me... I did not"
 10/09/1812 Fri 08:01:24  c0deace001 "know, madam. God is my witness, I did not know you had honored us with"
 10/09/1812 Fri 08:03:38  dde96b07f6 "a visit, and I came in such a costume only to see my daughter. I beg you"
 10/09/1812 Fri 08:05:08  e063fb537a "to excuse me... God is my witness, I didn’t know—” he repeated,"
 10/09/1812 Fri 08:05:52  a7b332d3a2 "stressing the word “God” so unnaturally and so unpleasantly that"
 10/09/1812 Fri 08:07:06  33a89d8308 "Princess Mary stood with downcast eyes not daring to look either at her"
 10/09/1812 Fri 08:08:12  b7571e23dc "father or at Natásha."
 10/09/1812 Fri 08:08:55  4a3471b6ad "Nor did the latter, having risen and curtsied, know what to do."
 10/09/1812 Fri 08:10:46  d304228f17 "Mademoiselle Bourienne alone smiled agreeably."
 10/09/1812 Fri 08:11:17  cfa904ada8 "“I beg you to excuse me, excuse me! God is my witness, I did not"
 10/09/1812 Fri 08:12:48  d6130407f9 "know,” muttered the old man, and after looking Natásha over from head"
 10/09/1812 Fri 08:13:33  1ae07e0a9d "to foot he went out."
 10/09/1812 Fri 08:14:40  d735f8a0b1 "Mademoiselle Bourienne was the first to recover herself after this"
 10/09/1812 Fri 08:17:04  c0deace001 "apparition and began speaking about the prince’s indisposition."
 10/09/1812 Fri 08:17:57  8c8118a804 "Natásha and Princess Mary looked at one another in silence, and the"
 10/09/1812 Fri 08:18:32  6f747c5fa6 "longer they did so without saying what they wanted to say, the greater"
 10/09/1812 Fri 08:19:39  eb633c75b0 "grew their antipathy to one another."
 10/09/1812 Fri 08:21:39  82cd8ec43f "When the count returned, Natásha was impolitely pleased and hastened"
 10/09/1812 Fri 08:23:42  3b22c92b1c "to get away: at that moment she hated the stiff, elderly princess, who"
 10/09/1812 Fri 08:24:17  3921c0f4b8 "could place her in such an embarrassing position and had spent half an"
 10/09/1812 Fri 08:25:57  164b3a96f8 "hour with her without once mentioning Prince Andrew. “I couldn’t"
 10/09/1812 Fri 08:27:06  9f99207376 "begin talking about him in the presence of that Frenchwoman,” thought"
 10/09/1812 Fri 08:28:17  36def8deba "Natásha. The same thought was meanwhile tormenting Princess Mary. She"
 10/09/1812 Fri 08:29:53  e734048661 "knew what she ought to have said to Natásha, but she had been unable"
 10/09/1812 Fri 08:31:05  63d276d4ee "to say it because Mademoiselle Bourienne was in the way, and because,"
 10/09/1812 Fri 08:31:57  6647043e2c "without knowing why, she felt it very difficult to speak of the"
 10/09/1812 Fri 08:33:25  9ac2110d1f "marriage. When the count was already leaving the room, Princess Mary"
 10/09/1812 Fri 08:33:56  1fe336e5de "went up hurriedly to Natásha, took her by the hand, and said with a"
 10/09/1812 Fri 08:34:41  b1fd6ea65a "deep sigh:"
 10/09/1812 Fri 08:36:27  35ee1ab528 "“Wait, I must...”"
 10/09/1812 Fri 08:37:07  2a211df386 "Natásha glanced at her ironically without knowing why."
 10/09/1812 Fri 08:38:16  c485f1f730 "“Dear Natalie,” said Princess Mary, “I want you to know that I am"
 10/09/1812 Fri 08:39:39  82b67db815 "glad my brother has found happiness....”"
 10/09/1812 Fri 08:41:19  80b6b0ca17 "She paused, feeling that she was not telling the truth. Natásha noticed"
 10/09/1812 Fri 08:42:42  8549f242fa "this and guessed its reason."
 10/09/1812 Fri 08:44:49  491f9eff9d "“I think, Princess, it is not convenient to speak of that now,”"
 10/09/1812 Fri 08:47:05  c267da4d8b "she said with external dignity and coldness, though she felt the tears"
 10/09/1812 Fri 08:48:33  a81f0f1515 "choking her."
 10/09/1812 Fri 08:50:01  88ae9613e4 "“What have I said and what have I done?” thought she, as soon as she"
 10/09/1812 Fri 08:52:10  fd784f98a5 "was out of the room."
 10/09/1812 Fri 08:54:39  ea7c430f4c "They waited a long time for Natásha to come to dinner that day. She sat"
 10/09/1812 Fri 08:56:15  4f80be6d07 "in her room crying like a child, blowing her nose and sobbing. Sónya"
 10/09/1812 Fri 08:57:02  da77e88cb2 "stood beside her, kissing her hair."
 10/09/1812 Fri 08:59:17  427b22eae8 "“Natásha, what is it about?” she asked. “What do they matter to"
 10/09/1812 Fri 08:59:47  4264a4f3ce "you? It will all pass, Natásha.”"
 10/09/1812 Fri 09:00:57  58e35282d2 "“But if you only knew how offensive it was... as if I...”"
 10/09/1812 Fri 09:03:10  53bcf5e340 "“Don’t talk about it, Natásha. It wasn’t your fault so why should"
 10/09/1812 Fri 09:04:17  ddfd17f054 "you mind? Kiss me,” said Sónya."
 10/09/1812 Fri 09:04:49  01bb2ca153 "Natásha raised her head and, kissing her friend on the lips, pressed"
 10/09/1812 Fri 09:06:27  9ea2b9e906 "her wet face against her."
 10/09/1812 Fri 09:07:31  7e462724e2 "“I can’t tell you, I don’t know. No one’s to blame,” said"
 10/09/1812 Fri 09:09:13  50f5ff4c13 "Natásha—“It’s my fault. But it all hurts terribly. Oh, why"
 10/09/1812 Fri 09:11:30  27debcc4d1 "doesn’t he come?...”"
 10/09/1812 Fri 09:13:15  04d2dcf971 "She came in to dinner with red eyes. Márya Dmítrievna, who knew how"
 10/09/1812 Fri 09:14:03  f066d3f3e2 "the prince had received the Rostóvs, pretended not to notice how upset"
 10/09/1812 Fri 09:14:55  c0deace001 "Natásha was and jested resolutely and loudly at table with the count"
 10/09/1812 Fri 09:16:33  235fac1ec6 "and the other guests."
 10/09/1812 Fri 09:17:18  6e46318aa3 "CHAPTER VIII"
 10/09/1812 Fri 09:19:33  255518a8bd "That evening the Rostóvs went to the Opera, for which Márya"
 10/09/1812 Fri 09:20:20  0f854cc805 "Dmítrievna had taken a box."
 10/09/1812 Fri 09:21:15  7ec5a03376 "Natásha did not want to go, but could not refuse Márya Dmítrievna’s"
 10/09/1812 Fri 09:22:09  fb728f4cfc "kind offer which was intended expressly for her. When she came ready"
 10/09/1812 Fri 09:23:49  ffce591b88 "dressed into the ballroom to await her father, and looking in the large"
 10/09/1812 Fri 09:25:55  69baf0237e "mirror there saw that she was pretty, very pretty, she felt even more"
 10/09/1812 Fri 09:27:34  844e9f95b3 "sad, but it was a sweet, tender sadness."
 10/09/1812 Fri 09:28:51  9f313ea550 "“O God, if he were here now I would not behave as I did then, but"
 10/09/1812 Fri 09:30:43  0beb4509d0 "differently. I would not be silly and afraid of things, I would simply"
 10/09/1812 Fri 09:31:21  d2cb89181e "embrace him, cling to him, and make him look at me with those searching"
 10/09/1812 Fri 09:33:29  65b98bab83 "inquiring eyes with which he has so often looked at me, and then I"
 10/09/1812 Fri 09:35:01  c0deace001 "would make him laugh as he used to laugh. And his eyes—how I see those"
 10/09/1812 Fri 09:36:15  b7ebd18f5c "eyes!” thought Natásha. “And what do his father and sister matter"
 10/09/1812 Fri 09:37:56  298fa148ad "to me? I love him alone, him, him, with that face and those eyes, with"
 10/09/1812 Fri 09:40:03  dd455dce8b "his smile, manly and yet childlike.... No, I had better not think of"
 10/09/1812 Fri 09:41:17  7161764617 "him; not think of him but forget him, quite forget him for the present."
 10/09/1812 Fri 09:43:38  f0b5d24541 "I can’t bear this waiting and I shall cry in a minute!” and she"
 10/09/1812 Fri 09:45:28  0c0014ebd2 "turned away from the glass, making an effort not to cry. “And how"
 10/09/1812 Fri 09:47:11  a9a138b2b5 "can Sónya love Nicholas so calmly and quietly and wait so long and so"
 10/09/1812 Fri 09:49:35  0af777a4c9 "patiently?” thought she, looking at Sónya, who also came in quite"
 10/09/1812 Fri 09:50:25  0fcd00c47b "ready, with a fan in her hand. “No, she’s altogether different. I"
 10/09/1812 Fri 09:52:42  622ce5d9eb "can’t!”"
 10/09/1812 Fri 09:54:10  21ffa5b62f "Natásha at that moment felt so softened and tender that it was not"
 10/09/1812 Fri 09:54:47  48cc9ef04a "enough for her to love and know she was beloved, she wanted now, at"
 10/09/1812 Fri 09:56:19  acee4439f8 "once, to embrace the man she loved, to speak and hear from him words of"
 10/09/1812 Fri 09:57:58  22eaeaf34e "love such as filled her heart. While she sat in the carriage beside her"
 10/09/1812 Fri 09:58:49  06e288e371 "father, pensively watching the lights of the street lamps flickering on"
 10/09/1812 Fri 09:59:51  69f78ca933 "the frozen window, she felt still sadder and more in love, and forgot"
 10/09/1812 Fri 10:00:38  305c4db3ec "where she was going and with whom. Having fallen into the line of"
 10/09/1812 Fri 10:01:44  ede7c085fe "carriages, the Rostóvs’ carriage drove up to the theater, its wheels"
 10/09/1812 Fri 10:02:31  c0deace001 "squeaking over the snow. Natásha and Sónya, holding up their dresses,"
 10/09/1812 Fri 10:04:03  4d4ecefcfd "jumped out quickly. The count got out helped by the footmen, and,"
 10/09/1812 Fri 10:05:06  2174918bfc "passing among men and women who were entering and the program sellers,"
 10/09/1812 Fri 10:07:12  5315f09fc1 "they all three went along the corridor to the first row of boxes."
 10/09/1812 Fri 10:08:12  c3c07279e2 "Through the closed doors the music was already audible."
 10/09/1812 Fri 10:10:17  3e592d89aa "“Natásha, your hair!...” whispered Sónya."
 10/09/1812 Fri 10:11:03  c44aa900e0 "An attendant deferentially and quickly slipped before the ladies and"
 10/09/1812 Fri 10:13:17  151b717355 "opened the door of their box. The music sounded louder and through the"
 10/09/1812 Fri 10:15:22  03cf196f61 "door rows of brightly lit boxes in which ladies sat with bare arms and"
 10/09/1812 Fri 10:17:46  3b3a7ad6dc "shoulders, and noisy stalls brilliant with uniforms, glittered before"
 10/09/1812 Fri 10:19:02  e569ea58b5 "their eyes. A lady entering the next box shot a glance of feminine envy"
 10/09/1812 Fri 10:20:58  0f4572e5f6 "at Natásha. The curtain had not yet risen and the overture was being"
 10/09/1812 Fri 10:21:58  e118588b98 "played. Natásha, smoothing her gown, went in with Sónya and sat down,"
 10/09/1812 Fri 10:24:17  3f80547376 "scanning the brilliant tiers of boxes opposite. A sensation she had not"
 10/09/1812 Fri 10:25:50  f7329e9662 "experienced for a long time—that of hundreds of eyes looking at"
 10/09/1812 Fri 10:27:34  c0deace001 "her bare arms and neck—suddenly affected her both agreeably and"
 10/09/1812 Fri 10:28:19  56d5f911b5 "disagreeably and called up a whole crowd of memories, desires and"
 10/09/1812 Fri 10:29:08  1bd9c3be74 "emotions associated with that feeling."
 10/09/1812 Fri 10:31:05  0b8cd8b7f7 "The two remarkably pretty girls, Natásha and Sónya, with Count Rostóv"
 10/09/1812 Fri 10:32:10  c0deace001 "who had not been seen in Moscow for a long time, attracted general"
 10/09/1812 Fri 10:32:57  fe1cbb47d8 "attention. Moreover, everybody knew vaguely of Natásha’s engagement"
 10/09/1812 Fri 10:34:02  bc359a0fc5 "to Prince Andrew, and knew that the Rostóvs had lived in the country"
 10/09/1812 Fri 10:35:32  25f0ba11f6 "ever since, and all looked with curiosity at a fiancée who was making"
 10/09/1812 Fri 10:37:28  7c40cfb8d4 "one of the best matches in Russia."
 10/09/1812 Fri 10:38:54  9962786937 "Natásha’s looks, as everyone told her, had improved in the country,"
 10/09/1812 Fri 10:40:57  8634e79bc2 "and that evening thanks to her agitation she was particularly pretty."
 10/09/1812 Fri 10:43:03  25fdcea102 "She struck those who saw her by her fullness of life and beauty,"
 10/09/1812 Fri 10:45:06  75524a85ca "combined with her indifference to everything about her. Her black eyes"
 10/09/1812 Fri 10:47:26  c5fe2d5383 "looked at the crowd without seeking anyone, and her delicate arm, bare"
 10/09/1812 Fri 10:47:58  fc55793655 "to above the elbow, lay on the velvet edge of the box, while, evidently"
 10/09/1812 Fri 10:48:55  90fca251c7 "unconsciously, she opened and closed her hand in time to the music,"
 10/09/1812 Fri 10:49:41  1b12b6c252 "crumpling her program. “Look, there’s Alénina,” said Sónya,"
 10/09/1812 Fri 10:51:50  438cd54586 "“with her mother, isn’t it?”"
 10/09/1812 Fri 10:53:17  79698334f6 "“Dear me, Michael Kirílovich has grown still stouter!” remarked the"
 10/09/1812 Fri 10:55:38  8efa9a281a "count."
 10/09/1812 Fri 10:58:03  32ccdb0810 "“Look at our Anna Mikháylovna—what a headdress she has on!”"
 10/09/1812 Fri 10:59:14  2f9bc52155 "“The Karágins, Julie—and Borís with them. One can see at once that"
 10/09/1812 Fri 11:01:10  2aeedd1a2f "they’re engaged....”"
 10/09/1812 Fri 11:03:21  59e38a7bfb "“Drubetskóy has proposed?”"
 10/09/1812 Fri 11:05:11  5c722d00f9 "“Oh yes, I heard it today,” said Shinshín, coming into the"
 10/09/1812 Fri 11:06:33  3615533f14 "Rostóvs’ box."
 10/09/1812 Fri 11:07:14  c9c1aea02c "Natásha looked in the direction in which her father’s eyes were"
 10/09/1812 Fri 11:08:53  e1c3703160 "turned and saw Julie sitting beside her mother with a happy look on her"
 10/09/1812 Fri 11:11:11  5c351b33ae "face and a string of pearls round her thick red neck—which Natásha"
 10/09/1812 Fri 11:12:58  917cfc2f0b "knew was covered with powder. Behind them, wearing a smile and leaning"
 10/09/1812 Fri 11:14:10  c0deace001 "over with an ear to Julie’s mouth, was Borís’ handsome smoothly"
 10/09/1812 Fri 11:16:16  f523e71618 "brushed head. He looked at the Rostóvs from under his brows and said"
 10/09/1812 Fri 11:16:47  d07d62fa41 "something, smiling, to his betrothed."
 10/09/1812 Fri 11:17:40  115dd88979 "“They are talking about us, about me and him!” thought Natásha."
 10/09/1812 Fri 11:19:44  17316d8d71 "“And he no doubt is calming her jealousy of me. They needn’t trouble"
 10/09/1812 Fri 11:20:33  5359a2c40f "themselves! If only they knew how little I am concerned about any of"
 10/09/1812 Fri 11:22:01  c3b916916b "them.”"
 10/09/1812 Fri 11:23:05  b276371124 "Behind them sat Anna Mikháylovna wearing a green headdress and with a"
 10/09/1812 Fri 11:25:20  5b2ae20782 "happy look of resignation to the will of God on her face. Their box was"
 10/09/1812 Fri 11:27:36  8b6953157a "pervaded by that atmosphere of an affianced couple which Natásha knew"
 10/09/1812 Fri 11:28:13  55704bf6e1 "so well and liked so much. She turned away and suddenly remembered all"
 10/09/1812 Fri 11:30:04  53beb5bded "that had been so humiliating in her morning’s visit."
 10/09/1812 Fri 11:31:53  8110593db0 "“What right has he not to wish to receive me into his family? Oh,"
 10/09/1812 Fri 11:34:13  d38f021311 "better not think of it—not till he comes back!” she told herself,"
 10/09/1812 Fri 11:36:07  daadff8890 "and began looking at the faces, some strange and some familiar, in"
 10/09/1812 Fri 11:38:23  286399ccb0 "the stalls. In the front, in the very center, leaning back against"
